"Call Failure","Complains","Subscription Length","Charge Amount","Seconds of Use","Frequency of use","Frequency of SMS","Distinct Called Numbers","Age Group","Tariff Plan","Status","Age","Customer Value","Churn"
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0
9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0
0,0,37,0,0,0,0,0,2,1,2,25,0,1
3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0
0,1,36,0,628,7,9,4,4,1,2,45,38.375,1
0,0,36,1,338,4,4,2,5,1,1,55,11.13,0
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,0
6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,0
2,0,36,0,3718,82,2,28,2,1,1,25,180,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0
4,0,26,0,1568,39,30,68,4,1,1,45,115.175,0
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0
0,0,26,0,825,10,21,3,4,1,2,45,73.375,1
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,0
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,0
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,0
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0
3,0,41,1,378,8,12,6,3,1,1,30,63.44,0
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0
7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,0
16,0,39,3,9175,124,149,45,3,1,1,30,967.96,0
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,0
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,0
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,0
7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,0
12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,0
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,0
3,0,39,1,935,17,5,13,2,1,1,25,65.34,0
5,0,40,1,770,17,18,10,3,1,1,30,103.48,0
3,1,39,1,60,3,5,2,2,1,1,25,25.335,1
6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,0
10,0,39,2,11525,157,16,49,4,2,1,45,332.05,0
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,0
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1
24,1,38,9,10495,96,6,44,5,2,1,55,167.865,0
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,0
4,0,36,1,2900,25,5,16,3,1,1,30,137,0
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1
12,1,38,1,2328,47,39,33,3,1,1,30,251,1
3,0,38,1,193,5,5,4,3,1,1,30,27.92,1
4,0,38,1,1728,28,5,8,4,1,1,45,56.4,0
6,0,35,2,6845,100,19,24,5,1,1,55,132.675,0
3,0,38,1,688,10,14,6,4,1,1,45,52.45,1
3,0,38,2,398,7,9,4,5,1,1,55,19.575,0
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,0
9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,0
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,0
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,0
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,0
7,0,28,1,1628,42,35,70,4,1,1,45,129.25,0
14,0,29,1,760,28,15,9,3,1,1,30,91.52,0
3,0,28,1,885,13,26,5,4,1,1,45,87.45,0
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,0
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,0
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,0
15,0,17,1,8993,174,78,42,5,1,1,55,254.505,0
11,0,18,4,2913,48,36,21,3,1,1,30,262.44,0
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0
0,0,37,0,258,2,2,2,2,1,2,25,20.7,0
7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,0
